"","iso3c","discvsly_pp_low","discvsly_pp_med","discvsly_pp_high"
"96","LKA",2304.52574178508,2457.43167200357,2727.44452538949
"97","LSO",180.554863820666,209.685806245159,239.277016938205
"98","LTU",22603.6688186288,24864.57690531,25775.5708926486
"99","LUX",62159.6603072218,73343.5385361888,99220.2586358667
"100","LVA",16444.3508592004,19257.2973449635,20631.4708547519
"101","MAR",1523.85090496597,1761.97925555703,2036.71674562098
"102","MDA",3573.78386435118,4094.35184966582,4431.13055412445
"103","MDG",205.164680626678,261.231815652713,301.207413274706
"104","MDV",4113.82586427217,4566.84503673826,5347.45693268494
"105","MEX",3613.07574194919,4303.28351562461,4832.55450361728
"106","MKD",4259.97164188253,5087.7210993077,5880.39229239461
"107","MLI",410.596601835716,583.079370438629,708.260457383409
"108","MLT",25994.5118053285,29645.3726462416,34767.3622023809
"109","MMR",423.740976109233,503.387895573415,600.733770717888
"110","MNE",6149.44761455129,7247.54689730322,8816.93128723994
"111","MNG",1613.86045930064,1730.60163009258,1875.13481317656
"112","MOZ",71.9128091685321,90.4065173940838,114.249854613893
"113","MRT",720.079559056892,945.829044305888,1124.16249777411
"114","MUS",4961.62035804508,5572.04959361527,6138.46673132259
"115","MWI",583.649491769616,626.044799118355,657.26966939689
"116","MYS",5315.72307845231,6030.28378003022,7246.94702699647
"117","NAM",1172.23002292373,1569.17502640985,1854.90978564881
"118","NER",497.890266764314,636.750651258687,936.324939783344
"119","NGA",2763.9205230814,3016.65474362366,3186.28338806501
"120","NIC",182.177065066271,220.422661355279,257.34686445597
"121","NLD",41984.8896941217,46959.2399158501,53692.6820838286
"122","NOR",64429.3008836242,71555.614510213,77117.8182715184
"123","NPL",424.103159340158,480.831776991144,631.484227242895
"124","NZL",29577.4394361943,43003.8152165534,54612.83802343
"125","OMN",1817.41141457592,2411.81476907124,4433.44191981692
"126","PAK",481.526345795637,554.308357899165,670.644306628164
"127","PAN",5443.67622588811,6824.26065625321,8468.76255025671
"128","PER",969.651007282159,1355.07105373299,1821.82587156801
"129","PHL",1803.10650473502,2164.92250057137,2677.4680399267
"130","PNG",898.901305571222,1154.20740002616,1447.83229850063
"131","POL",11065.0523542155,12210.8250801912,13115.7475991281
"132","PRK",NA,NA,NA
"133","PRT",29069.353087965,31080.5564329235,41737.8898808203
"134","PRY",642.11329828718,794.498342305642,883.136043867584
"135","QAT",16654.5944800868,22564.824925337,29003.5886319976
"136","ROU",10601.1589287039,12504.6848007669,14071.3333416257
"137","RUS",11199.6174521591,12039.6626757373,12909.7102375535
"138","RWA",216.879512799249,249.51567474033,285.845517874293
"139","SAU",9061.65698172441,10082.5496280699,11363.7112809655
"140","SDN",278.649981339509,377.512834276733,481.931565240636
"141","SEN",865.502233752141,994.626323006927,1113.74929466273
"142","SGP",103685.061424968,124760.148454126,130290.21254599
"143","SLB",NA,NA,NA
"144","SLE",154.198018117175,228.386778904237,278.312557348834
"145","SLV",1622.85998630472,1901.49367646816,2018.4207309227
"146","SOM",166.472314024288,189.506518914624,213.15487226909
