"","iso3c","vsly_disc_pgdp_low","vsly_disc_pgdp_med","vsly_disc_pgdp_high"
"108","MLT",51.769696539665,59.0406143110029,69.2413769560744
"109","MMR",8.115276821892,9.64063508532358,11.5049549618679
"110","MNE",27.3690609599009,32.2563204494435,39.2411066822846
"111","MNG",22.1187390451064,23.7187333182706,25.6996305771194
"112","MOZ",2.01020597031982,2.52716759535149,3.19366942424379
"113","MRT",5.14992767503658,6.76446249564966,8.03988321249893
"114","MUS",38.5666015690523,43.3114589776132,47.714211001238
"115","MWI",2.76287471943775,2.96356524439902,3.11137725473542
"116","MYS",35.0678983062565,39.7818650887168,47.8082092732966
"117","NAM",2.55635643015203,3.4219995993549,4.04511952873243
"118","NER",1.92816053033254,2.46591981281234,3.62606966428378
"119","NGA",2.29426353134581,2.50405209091943,2.64485672316679
"120","NIC",3.27450918759187,3.96194784178102,4.62563534961158
"121","NLD",48.0757839077656,53.7717804456543,61.4820665267083
"122","NOR",49.181936806575,54.621789507752,58.8676830708054
"123","NPL",10.1531843433269,11.5112881439416,15.1179627595228
"124","NZL",40.5390411992472,58.941323861028,74.8527300821855
"125","OMN",5.78521783451533,7.67733365360985,14.1126148196871
"126","PAK",7.12351659940057,8.20022585089663,9.92125538357717
"127","PAN",19.8204336256752,24.8471436890989,30.8347776491028
"128","PER",8.44590623209053,11.8030126011292,15.8685654600497
"129","PHL",17.9219833188347,21.5182546565721,26.6127028116572
"130","PNG",0.686914268182423,0.882011769930497,1.10639138870028
"131","POL",34.1610472769275,37.6983822128764,40.4921422387457
"132","PRK",NA,NA,NA
"133","PRT",102.393218722638,109.47743498892,147.016580474148
"134","PRY",4.36858683569079,5.40533112837399,6.00837345318223
"135","QAT",21.6562814667188,29.3414649281682,37.7139100991304
"136","ROU",26.0611073954174,30.7405950359119,34.5919282862463
"137","RUS",35.9961132945857,38.6960593569992,41.4924343886105
"138","RWA",8.00684454711501,9.21171941936073,10.5529590903663
