"","iso3c","vsly_undisc_averted_low","vsly_undisc_averted_med","vsly_undisc_averted_high","vsly_disc_averted_low","vsly_disc_averted_med","vsly_disc_averted_high"
"25","BRN",3212099250.58946,3802194590.04171,4891814712.80796,4362469628.54723,5119657277.17483,6515241995.40156
"26","BTN",598158650.528202,644011743.194221,696068792.676775,830502013.024249,892489468.284082,960991150.95752
"27","BWA",636964060.750473,830132825.38194,973746765.067119,924124689.476082,1198685971.80924,1399399290.63633
"28","CAF",27148651.4956826,32809078.1044643,37539311.3779602,37713703.8759637,45678026.4223228,52191480.339005
"29","CAN",940927615425.816,1032690687105.63,1524002807337.59,1295013175967.9,1420957605130.35,2074259358906.74
"30","CHE",204002208630.228,259781538658.991,388079449281.713,276193745276.37,351288501013.737,523268915770.675
"31","CHL",125388029222.793,133730195806.515,152796059778.922,175140940952.155,186908363267.491,212079184269.859
"32","CIV",1537014382.42132,1724939132.74869,1872649899.57999,2196216500.47377,2484277271.78852,2700259919.45647
"33","CMR",430493050.946759,515094107.429213,590940367.311146,619624552.994239,748006549.461842,864167590.470566
"34","COD",12316280.3584234,14108704.4212161,16151098.8706948,17683213.2588306,20271847.5213419,23265755.7772648
"35","COG",248726559.87054,278314549.790709,312633743.085803,352593027.458065,398044405.845072,446516834.019915
"36","COL",33500313118.6,40312467670.0653,49738054273.5799,48194573920.1842,57838929445.2959,71585562777.1231
"37","COM",87985195.2404711,103201641.233788,116238702.805194,123234155.558102,144253265.495829,162229073.26259
"38","CPV",220717273.439326,253097779.218001,275834783.815221,309427010.17563,355015947.257033,385735755.96581
"39","CRI",14657225349.3193,16950885188.9058,18751051641.1449,20504824365.3275,23753879581.3831,26187729178.7599
"40","CUB",0,0,0,0,0,0
"41","CYP",8883457204.51152,11375822438.7644,13803554803.2026,12156220753.901,15634950146.944,19009935082.5561
"42","CZE",79650426744.6639,95509940719.9224,108326977640.728,109195466384.777,131391762022.096,149489696135.922
"43","DEU",2290019102106.38,2464553104226.34,2681238977030.85,3138263686891.39,3382018380712.17,3692020422096.68
"44","DJI",72404087.4560528,88198286.3863251,100928003.18219,111994247.832974,135625067.646363,153833770.411694
"45","DNK",161864883664.874,177157009648.358,195627551160.079,223740841036.935,245146642850.415,271283391258.319
"46","DOM",6551203372.12575,8238700300.6459,10332832157.2394,9170992129.14368,11512101990.5709,14415155841.0503
"47","DZA",2668730068.95565,3409517515.30094,4493448314.55573,3950813118.00555,5049409280.86374,6659376844.40244
"48","ECU",12318869829.5882,15005886364.9312,19230031165.3901,17191918789.9386,20934107000.7768,26728708015.1904
"49","EGY",17185101230.0406,20042849457.7203,22679149762.1693,25378015840.8401,29667220098.4575,33561661733.9558
"50","ERI",0,0,0,0,0,0
"51","ESP",821272920962.341,913699308227.511,1051377387029.65,1126438454478.33,1252237729437.07,1444927405942.79
"52","EST",13494574356.5134,15363098224.5895,16858118010.8358,19037240236.8342,21741774512.5695,23898116489.8992
"53","ETH",1074250674.14637,1302853995.57737,1468969630.86192,1640679856.26661,1996687510.69851,2240070026.54799
"54","FIN",135031517404.919,144697303341.432,158401206112.88,183902157235.508,197635602187.523,213906717277.272
"55","FJI",915757430.467808,1069948514.02404,1267082342.76959,1277630265.85127,1477414949.58748,1733093630.83928
"56","FRA",1419923014506.22,1698778577676.7,2256193109298.78,2020061921418.86,2417160888990.53,3172835289162.36
"57","FSM",207.258282568393,28070.986500213,6601330.0804986,319.777698081012,39883.2240000124,9027801.03569462
