"","income_group","replicate.x","averted_total_costs","replicate.y","mean_hccosts_percentGDP"
"468","H",5,448788860883.049,68,1.14803487933859
"469","H",5,448788860883.049,69,1.17012565766203
"470","H",5,448788860883.049,70,1.14062786987063
"471","H",5,448788860883.049,71,1.1654116773847
"472","H",5,448788860883.049,72,1.11123424522998
"473","H",5,448788860883.049,73,1.15408260855634
"474","H",5,448788860883.049,74,1.13668957981723
"475","H",5,448788860883.049,75,1.13324560062333
"476","H",5,448788860883.049,76,1.15387825013953
"477","H",5,448788860883.049,77,1.14067431787039
"478","H",5,448788860883.049,78,1.13320394528326
"479","H",5,448788860883.049,79,1.14214266337089
"480","H",5,448788860883.049,80,1.13707975504062
"481","H",5,448788860883.049,81,1.15605609682354
"482","H",5,448788860883.049,82,1.15504845093552
"483","H",5,448788860883.049,83,1.1337212627795
"484","H",5,448788860883.049,84,1.15347163729888
"485","H",5,448788860883.049,85,1.13689120683241
"486","H",5,448788860883.049,86,1.12830874836909
"487","H",5,448788860883.049,87,1.14193894349519
"488","H",5,448788860883.049,88,1.14300561870956
"489","H",5,448788860883.049,89,1.13598565155836
"490","H",5,448788860883.049,90,1.1505553816768
"491","H",5,448788860883.049,91,1.1426292047334
"492","H",5,448788860883.049,92,1.12495074180155
"493","H",5,448788860883.049,93,1.12970487060053
"494","H",5,448788860883.049,94,1.12377529879881
"495","H",5,448788860883.049,95,1.13754841764727
"496","H",5,448788860883.049,96,1.14198572077717
"497","H",5,448788860883.049,97,1.12477535985516
"498","H",5,448788860883.049,98,1.12568322686667
"499","H",5,448788860883.049,99,1.12651481782698
"500","H",5,448788860883.049,100,1.14317539234407
"501","H",6,456537175439.014,1,1.11307613602926
"502","H",6,456537175439.014,2,1.14599970838249
"503","H",6,456537175439.014,3,1.15234820545143
"504","H",6,456537175439.014,4,1.14287755504822
"505","H",6,456537175439.014,5,1.15361144492403
"506","H",6,456537175439.014,6,1.1384788487853
"507","H",6,456537175439.014,7,1.14982969910239
"508","H",6,456537175439.014,8,1.15018281344778
"509","H",6,456537175439.014,9,1.15275508149117
"510","H",6,456537175439.014,10,1.14070365928238
"511","H",6,456537175439.014,11,1.14460621159538
"512","H",6,456537175439.014,12,1.15281072225661
"513","H",6,456537175439.014,13,1.1438680716944
"514","H",6,456537175439.014,14,1.13781495742811
"515","H",6,456537175439.014,15,1.13900198819439
"516","H",6,456537175439.014,16,1.15851776739393
"517","H",6,456537175439.014,17,1.1491312504824
"518","H",6,456537175439.014,18,1.13466541550123
"519","H",6,456537175439.014,19,1.13367867077898
"520","H",6,456537175439.014,20,1.14743395775288
"521","H",6,456537175439.014,21,1.15000525529999
"522","H",6,456537175439.014,22,1.14314287158948
"523","H",6,456537175439.014,23,1.1382246158211
"524","H",6,456537175439.014,24,1.1266040770487
"525","H",6,456537175439.014,25,1.15801093870192
"526","H",6,456537175439.014,26,1.13201165656173
"527","H",6,456537175439.014,27,1.13652845289033
"528","H",6,456537175439.014,28,1.1357080724342
"529","H",6,456537175439.014,29,1.16418628358109
"530","H",6,456537175439.014,30,1.15813261156572
"531","H",6,456537175439.014,31,1.16694553384085
"532","H",6,456537175439.014,32,1.1538939239543
"533","H",6,456537175439.014,33,1.16195199644542
"534","H",6,456537175439.014,34,1.16579244268113
"535","H",6,456537175439.014,35,1.14190138647595
"536","H",6,456537175439.014,36,1.13247235925236
"537","H",6,456537175439.014,37,1.16212074371921
"538","H",6,456537175439.014,38,1.14420250927516
"539","H",6,456537175439.014,39,1.13150732367716
"540","H",6,456537175439.014,40,1.14514287776295
"541","H",6,456537175439.014,41,1.16763287497046
"542","H",6,456537175439.014,42,1.13622289649748
"543","H",6,456537175439.014,43,1.15792206232068
"544","H",6,456537175439.014,44,1.16421971565512
"545","H",6,456537175439.014,45,1.16782671088664
"546","H",6,456537175439.014,46,1.1691413231907
"547","H",6,456537175439.014,47,1.16077493197462
"548","H",6,456537175439.014,48,1.12828269156696
"549","H",6,456537175439.014,49,1.17013254143185
"550","H",6,456537175439.014,50,1.1388607465342
"551","H",6,456537175439.014,51,1.14572007308314
"552","H",6,456537175439.014,52,1.15076927329966
"553","H",6,456537175439.014,53,1.15983876004235
"554","H",6,456537175439.014,54,1.15996278816857
"555","H",6,456537175439.014,55,1.15543757705245
"556","H",6,456537175439.014,56,1.148549294669
"557","H",6,456537175439.014,57,1.15358337964988
"558","H",6,456537175439.014,58,1.14798210296291
"559","H",6,456537175439.014,59,1.16617311818995
"560","H",6,456537175439.014,60,1.13455420498083
"561","H",6,456537175439.014,61,1.15357868378602
"562","H",6,456537175439.014,62,1.16165221543794
"563","H",6,456537175439.014,63,1.12982884626231
"564","H",6,456537175439.014,64,1.14303107575358
"565","H",6,456537175439.014,65,1.12332572326828
"566","H",6,456537175439.014,66,1.15879834138843
"567","H",6,456537175439.014,67,1.13846208105066
"568","H",6,456537175439.014,68,1.14803487933859
"569","H",6,456537175439.014,69,1.17012565766203
"570","H",6,456537175439.014,70,1.14062786987063
"571","H",6,456537175439.014,71,1.1654116773847
"572","H",6,456537175439.014,72,1.11123424522998
"573","H",6,456537175439.014,73,1.15408260855634
"574","H",6,456537175439.014,74,1.13668957981723
"575","H",6,456537175439.014,75,1.13324560062333
"576","H",6,456537175439.014,76,1.15387825013953
