"","iso3c","discmonqalys_pgdp_low","discmonqalys_pgdp_med","discmonqalys_pgdp_high"
"167","UGA",0.12300928312279,0.139654427231737,0.15160000085075
"168","UKR",1.01087963011469,1.19743135095181,1.36566497795153
"169","URY",8.24433004125001,11.1157842480874,13.6486214012261
"170","USA",4.85684434570527,5.31252493305633,5.78593585526126
"171","UZB",0.443506525150695,0.613237981471163,0.759514456325547
"172","VCT",0.761453293628457,1.04697722580422,1.88637003592475
"173","VEN",NA,NA,NA
"174","VNM",2.02360729772005,2.454297342133,2.99215017862158
"175","VUT",0.000744845564246909,0.006886840459769,0.306389946068349
"176","YEM",NA,NA,NA
"177","ZAF",0.940091245543089,1.15687200320592,1.3836776268737
"178","ZMB",0.10338572109911,0.120403905042803,0.13340037631509
"179","ZWE",0.32023181791924,0.367059034034461,0.414616976713389
