"","iso3c","friction_pp_gdppc_low","friction_pp_gdppc_med","friction_pp_gdppc_high"
"148","SSD",NA,NA,NA
"149","STP",1.74812748067098,2.06657203487665,2.46918537739924
"150","SUR",0.801788104672643,0.862859672855597,0.925003162873829
"151","SVK",0.778835437177461,0.914942839166995,0.987121147455678
"152","SVN",0.897389252112576,1.02187060875481,1.16289277756885
"153","SWE",0.727133094941738,0.796527985576322,0.868169134169486
"154","SWZ",0.50145481356942,0.570927874782544,0.670131809629098
"155","SYC",0.985822279285142,1.23698202832735,1.6275936322871
"156","SYR",0.772409721957106,0.943751837727766,1.13701254227394
"157","TCD",1.5085578287857,2.03003661303955,2.69438867972207
"158","TGO",1.2651809731271,1.39416390335124,1.56638197811539
"159","THA",1.11051513274037,1.30769511851504,1.46455216341511
"160","TJK",0.827056395392859,1.1091280840815,1.48421127807518
"161","TKM",NA,NA,NA
"162","TLS",0.895276505767895,0.98655061770873,1.06851705453353
"163","TTO",0.894783703364752,0.984277737900003,1.1302439918514
"164","TUN",0.674490249459095,0.777996145021769,0.960339831091244
"165","TUR",0.803056722632146,0.906478840759726,0.983219880002439
"166","TZA",0.83335889396769,1.10041525595232,1.3982732235225
"167","UGA",2.95795598266904,3.27079759002471,3.79585559526419
"168","UKR",0.785960042287797,0.914446403827711,1.06772529087803
"169","URY",1.19377554466866,1.42261758974549,1.59590775388556
"170","USA",1.15813622904799,1.29289450441901,1.46121944594515
"171","UZB",0.647494501343761,0.825609980463997,1.01100444494714
"172","VCT",0.677988344088082,0.834302302525637,1.10305782626549
"173","VEN",NA,NA,NA
"174","VNM",1.23215857499919,1.38270176932822,1.54084206831298
"175","VUT",0.00282757806816801,0.0364932315850305,3.32148233150036
"176","YEM",NA,NA,NA
"177","ZAF",0.666791862661677,0.888858173776006,1.13351150723162
"178","ZMB",0.874811667360054,1.02518770731456,1.17615271092111
"179","ZWE",0.778753064345729,0.916623756895666,1.07856338178617
